//Map No	Old Grouping	New Grouping	New Flip	1
1.1.1.100.100.100.050.100.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.100.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.200.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.200.00000.001	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.200.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.200.01000.001	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.205.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.205.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.206.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.206.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.207.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.220.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.220.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.240.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.240.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.300.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.300.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.320.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.320.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.350.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.350.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.360.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.360.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.400.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.400.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.410.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.410.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.420.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.420.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.430.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.430.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.440.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.450.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.450.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.600.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.600.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.601.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.601.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.610.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.610.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.611.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.611.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.660.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.660.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.050.700.00000.000	20.20.10.001	20.20.00.10.001		1
1.1.1.100.100.100.050.700.01000.000	20.20.10.011	20.20.00.10.011		1
1.1.1.100.100.100.100.100.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.100.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.200.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.200.00000.001	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.200.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.200.01000.001	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.205.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.205.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.206.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.206.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.207.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.220.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.220.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.240.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.240.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.300.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.300.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.320.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.320.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.350.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.350.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.360.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.360.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.400.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.400.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.410.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.410.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.420.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.420.01000.000	20.20.10.011	20.20.01.10.011		1
